"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"307","PE_ae_C42:1 (interacts) PE_ae_C42:2","interacts","0.96","PE_ae_C42:1 (interacts) PE_ae_C42:2","false","interacts","PE_ae_C42:1 (interacts) PE_ae_C42:2"
"308","PE_ae_C42:1 (interacts) PE_ae_C46:5","interacts","0.97","PE_ae_C42:1 (interacts) PE_ae_C46:5","false","interacts","PE_ae_C42:1 (interacts) PE_ae_C46:5"
"309","PE_ae_C42:1 (interacts) PE_ae_C46:6","interacts","0.97","PE_ae_C42:1 (interacts) PE_ae_C46:6","false","interacts","PE_ae_C42:1 (interacts) PE_ae_C46:6"
"310","PE_ae_C42:1 (interacts) PG_aa_C32:0","interacts","0.71","PE_ae_C42:1 (interacts) PG_aa_C32:0","false","interacts","PE_ae_C42:1 (interacts) PG_aa_C32:0"
"311","PE_ae_C42:1 (interacts) PG_aa_C36:4","interacts","0.73","PE_ae_C42:1 (interacts) PG_aa_C36:4","false","interacts","PE_ae_C42:1 (interacts) PG_aa_C36:4"
"312","PE_ae_C42:1 (interacts) PG_ae_C34:1","interacts","0.8","PE_ae_C42:1 (interacts) PG_ae_C34:1","false","interacts","PE_ae_C42:1 (interacts) PG_ae_C34:1"
"313","PE_ae_C42:1 (interacts) PG_ae_C36:1","interacts","0.71","PE_ae_C42:1 (interacts) PG_ae_C36:1","false","interacts","PE_ae_C42:1 (interacts) PG_ae_C36:1"
"314","PE_ae_C42:1 (interacts) PS_aa_C42:2","interacts","0.73","PE_ae_C42:1 (interacts) PS_aa_C42:2","false","interacts","PE_ae_C42:1 (interacts) PS_aa_C42:2"
"315","PE_ae_C42:1 (interacts) PS_aa_C42:4","interacts","0.93","PE_ae_C42:1 (interacts) PS_aa_C42:4","false","interacts","PE_ae_C42:1 (interacts) PS_aa_C42:4"
"316","PE_ae_C42:1 (interacts) SM_C20:2","interacts","0.75","PE_ae_C42:1 (interacts) SM_C20:2","false","interacts","PE_ae_C42:1 (interacts) SM_C20:2"
