"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"210562",,"0.6","32","(interacts)","SM_C16:1 ((interacts)) SM_C16:0",,"1","1","false","(interacts)","SM_C16:1 ((interacts)) SM_C16:0"
"195198",,"0.6","32","(interacts)","SM_C26:4 ((interacts)) SM_C14:0",,"1","1","false","(interacts)","SM_C26:4 ((interacts)) SM_C14:0"
"192690",,"0.6","32","(interacts)","N-C16:0(OH)-Cer ((interacts)) SM_C16:0",,"1","1","false","(interacts)","N-C16:0(OH)-Cer ((interacts)) SM_C16:0"
"191016","0.5160294771195","0.6","32","(interacts)","SM_C24:0 ((interacts)) SM_C18:1",,"1","1","false","(interacts)","SM_C24:0 ((interacts)) SM_C18:1"
"203588",,"0.6","32","(interacts)","N-C26:0-Cer(2H) ((interacts)) SM_C22:2",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) SM_C22:2"
"206406",,"0.6","32","(interacts)","N-C14:1-Cer(2H) ((interacts)) N-C10:0(OH)-Cer",,"1","1","false","(interacts)","N-C14:1-Cer(2H) ((interacts)) N-C10:0(OH)-Cer"
"194231",,"0.6","32","(interacts)","N-C8:0(OH)-Cer(2H) ((interacts)) SM_C22:3",,"1","1","false","(interacts)","N-C8:0(OH)-Cer(2H) ((interacts)) SM_C22:3"
"192090",,"0.6","32","(interacts)","N-C22:0(OH)-Cer(2H) ((interacts)) N-C10:0-Cer",,"1","1","false","(interacts)","N-C22:0(OH)-Cer(2H) ((interacts)) N-C10:0-Cer"
"188904",,"0.6","32","(interacts)","N-C24:0(OH)-Cer(2H) ((interacts)) N-C10:0(OH)-Cer(2H)",,"1","1","false","(interacts)","N-C24:0(OH)-Cer(2H) ((interacts)) N-C10:0(OH)-Cer(2H)"
"194229",,"0.6","32","(interacts)","N-C8:0(OH)-Cer(2H) ((interacts)) N-C10:0-Cer(2H)",,"1","1","false","(interacts)","N-C8:0(OH)-Cer(2H) ((interacts)) N-C10:0-Cer(2H)"
"203587",,"0.6","32","(interacts)","N-C26:0-Cer(2H) ((interacts)) N-C12:0-Cer(2H)",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) N-C12:0-Cer(2H)"
"205882","0.3921742737295","0.6","32","(interacts)","N-C18:0-Cer(2H) ((interacts)) N-C14:0-Cer",,"1","1","false","(interacts)","N-C18:0-Cer(2H) ((interacts)) N-C14:0-Cer"
