"SUID","canonicalName","Cooccurrence","Coregulation","CoregulationBin","interaction","interactionStrength","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"198601","",,"0.95","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C36:2",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C36:2"
"198602","","0.807641980052","0.82","","(interacts)",,"SM_C24:1 ((interacts)) PE_aa_C38:4",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_aa_C38:4"
"198603","","0.7310927212237","0.81","","(interacts)",,"SM_C24:1 ((interacts)) PE_aa_C36:2",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_aa_C36:2"
"198604","","0.7868972182275","0.81","","(interacts)",,"SM_C24:1 ((interacts)) PE_ae_C36:5",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_ae_C36:5"
"198605","","0.672191515564875","0.84","","(interacts)",,"SM_C24:1 ((interacts)) PE_aa_C38:5",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_aa_C38:5"
"198606","",,"0.79","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C38:3",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C38:3"
"198607","",,"0.79","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C36:3",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C36:3"
"198608","","0.772195597489667","0.81","","(interacts)",,"SM_C24:1 ((interacts)) PE_aa_C36:1",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_aa_C36:1"
"198609","","0.8667070686817","0.81","","(interacts)",,"SM_C24:1 ((interacts)) SM_C24:0",,"","","false","(interacts)","SM_C24:1 ((interacts)) SM_C24:0"
"198610","",,"0.83","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C38:5",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C38:5"
"198611","","0.82365338504325","0.86","","(interacts)",,"SM_C24:1 ((interacts)) SM_C22:1",,"","","false","(interacts)","SM_C24:1 ((interacts)) SM_C22:1"
"198612","","0.8361258506775","0.87","","(interacts)",,"SM_C24:1 ((interacts)) PE_ae_C38:6",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_ae_C38:6"
"198613","",,"0.84","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C34:2",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C34:2"
"198614","",,"0.82","","(interacts)",,"SM_C24:1 ((interacts)) PG_aa_C36:2",,"","","false","(interacts)","SM_C24:1 ((interacts)) PG_aa_C36:2"
"198615","",,"0.81","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C40:6",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C40:6"
"198616","",,"0.85","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C38:4",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C38:4"
"198617","",,"0.72","","(interacts)",,"SM_C24:1 ((interacts)) PS_aa_C36:1",,"","","false","(interacts)","SM_C24:1 ((interacts)) PS_aa_C36:1"
"198618","","0.818896472454","0.73","","(interacts)",,"SM_C24:1 ((interacts)) PE_ae_C36:2",,"","","false","(interacts)","SM_C24:1 ((interacts)) PE_ae_C36:2"
