"SUID","FromHit","FromHit2","FromLipid","FromLipidChemicalFormula","FromLipidChemicalFormulaMatch","name","selected","shared name","ToHit","ToHit2","ToLipid","ToLipidChemicalFormula","ToLipidChemicalFormulaMatch"
"184415","false","false","N-C8:1-Cer","C26H49NO3","character(0)","N-C8:1-Cer","false","N-C8:1-Cer","false","false","N-C8:1-Cer","C26H49NO3","character(0)"
"184416","false","false","N-C26:0(OH)-Cer","C44H87NO4","character(0)","N-C26:0(OH)-Cer","false","N-C26:0(OH)-Cer","false","false","N-C26:0(OH)-Cer","C44H87NO4","character(0)"
"184417","false","false","N-C26:0-Cer","C44H87NO3","character(0)","N-C26:0-Cer","false","N-C26:0-Cer","false","false","N-C26:0-Cer","C44H87NO3","character(0)"
"184418","true","true","PC aa C30:2","C38H72NO8P","C38H72NO8P","PC_aa_C30:2","false","PC_aa_C30:2","false","false","PC aa C30:2","C38H72NO8P","character(0)"
"184419","false","false","N-C24:0(OH)-Cer","C42H83NO4","character(0)","N-C24:0(OH)-Cer","false","N-C24:0(OH)-Cer","false","false","N-C24:0(OH)-Cer","C42H83NO4","character(0)"
"184420","true","true","LPE a C18:0","C23H48NO7P","C23H48NO7P","LPE_a_C18:0","false","LPE_a_C18:0","true","true","LPE a C18:0","C23H48NO7P","C23H48NO7P"
"184421","false","false","PS aa C40:2","C46H86NO10P","character(0)","PS_aa_C40:2","false","PS_aa_C40:2","false","false","PS aa C40:2","C46H86NO10P","character(0)"
"184422","false","false","N-C18:1-Cer","C36H69NO3","character(0)","N-C18:1-Cer","false","N-C18:1-Cer","false","false","N-C18:1-Cer","C36H69NO3","character(0)"
"184423","false","false","N-C16:0(OH)-Cer(2H)","C34H69NO4","character(0)","N-C16:0(OH)-Cer(2H)","false","N-C16:0(OH)-Cer(2H)","false","false","N-C16:0(OH)-Cer(2H)","C34H69NO4","character(0)"
"184424","false","false","N-C14:0-Cer(2H)","C32H65NO3","character(0)","N-C14:0-Cer(2H)","false","N-C14:0-Cer(2H)","false","false","N-C14:0-Cer(2H)","C32H65NO3","character(0)"
"184425","false","false","N-C12:0(OH)-Cer","C30H59NO4","character(0)","N-C12:0(OH)-Cer","false","N-C12:0(OH)-Cer","false","false","N-C12:0(OH)-Cer","C30H59NO4","character(0)"
"184426","false","false","N-C24:1-Cer(2H)","C42H83NO3","character(0)","N-C24:1-Cer(2H)","false","N-C24:1-Cer(2H)","false","false","N-C24:1-Cer(2H)","C42H83NO3","character(0)"
"184427","false","false","N-C28:0(OH)-Cer(2H)","C46H93NO4","character(0)","N-C28:0(OH)-Cer(2H)","false","N-C28:0(OH)-Cer(2H)","false","false","N-C28:0(OH)-Cer(2H)","C46H93NO4","character(0)"
"184428","false","false","N-C26:1-Cer(2H)","C44H87NO3","character(0)","N-C26:1-Cer(2H)","false","N-C26:1-Cer(2H)","false","false","N-C26:1-Cer(2H)","C44H87NO3","character(0)"
"184429","false","false","SM C26:3","C49H93N2O6P","character(0)","SM_C26:3","false","SM_C26:3","false","false","SM C26:3","C49H93N2O6P","character(0)"
"184430","false","false","N-C26:1-Cer","C44H85NO3","character(0)","N-C26:1-Cer","false","N-C26:1-Cer","false","false","N-C26:1-Cer","C44H85NO3","character(0)"
"184431","false","false","N-C8:0-Cer(2H)","C26H53NO3","character(0)","N-C8:0-Cer(2H)","false","N-C8:0-Cer(2H)","false","false","N-C8:0-Cer(2H)","C26H53NO3","character(0)"
"184432","false","false","N-C28:0-Cer(2H)","C46H93NO3","character(0)","N-C28:0-Cer(2H)","false","N-C28:0-Cer(2H)","false","false","N-C28:0-Cer(2H)","C46H93NO3","character(0)"
"184433","false","false","N-C12:1-Cer(2H)","C30H59NO3","character(0)","N-C12:1-Cer(2H)","false","N-C12:1-Cer(2H)","false","false","N-C12:1-Cer(2H)","C30H59NO3","character(0)"
"184434","false","false","N-C20:0-Cer(2H)","C38H77NO3","character(0)","N-C20:0-Cer(2H)","false","N-C20:0-Cer(2H)","false","true","N-C20:0-Cer(2H)","C38H77NO3","C38H77NO3"
"184435","false","false","PS aa C40:1","C46H88NO10P","character(0)","PS_aa_C40:1","false","PS_aa_C40:1","false","false","PS aa C40:1","C46H88NO10P","character(0)"
"184436","true","true","N-C16:1-Cer","C34H65NO3","C34H65NO3","N-C16:1-Cer","false","N-C16:1-Cer","true","true","N-C16:1-Cer","C34H65NO3","C34H65NO3"
