formula	moleculeIds	moleculeNames	SuperClass	Class	
C10H11NO	HMDB0003447|HMDB0030267|HMDB0040028|HMDB0040042|HMDB0040048	Tryptophanol|(R)-Boschniakine|1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one|3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole|3,4-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole	Other		
C10H12N4O5	HMDB0000195|HMDB0000481|HMDB0003040	Inosine|Allopurinol riboside|Arabinosylhypoxanthine	Other		
C10H12N5O6P	HMDB0000058|HMDB0011616	Cyclic AMP|Adenosine 2',3'-cyclic phosphate	Other		
C10H13N4O8P	HMDB0000175|HMDB0011681	Inosinic acid|Inosine 2'-phosphate	Other		
C10H13N5O4	HMDB0000050|HMDB0000085|HMDB0014340|HMDB0014638	Adenosine|Deoxyguanosine|Vidarabine|Zidovudine	Other		
C10H14N5O7P	HMDB0000045|HMDB0001044|HMDB0003540|HMDB0011617|HMDB0059594	Adenosine monophosphate|2'-Deoxyguanosine 5'-monophosphate|3'-AMP|Adenosine 2'-phosphate|2-hydroxy-dAMP	Other		
C10H16O9	HMDB0126113|HMDB0126114|HMDB0126115|HMDB0126116|HMDB0130019|HMDB0130129|HMDB0130130|HMDB0130132|HMDB0130133|HMDB0130135|HMDB0130136	6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid|3,4,5-trihydroxy-6-[(2-hydroxy-2-methylpropanoyl)oxy]oxane-2-carboxylic acid|6-(2-carboxy-2-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid|3,4,5-trihydroxy-6-[(3-hydroxy-2-methylpropanoyl)oxy]oxane-2-carboxylic acid|1-methyl 3-(3,4,5,6-tetrahydroxyoxan-2-yl)methyl propanedioate|6-[(1-carboxypropan-2-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|3,4,5-trihydroxy-6-[(3-hydroxybutanoyl)oxy]oxane-2-carboxylic acid|6-(3-carboxypropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid|3,4,5-trihydroxy-6-[(4-hydroxybutanoyl)oxy]oxane-2-carboxylic acid|6-(1-carboxypropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid|3,4,5-trihydroxy-6-[(2-hydroxybutanoyl)oxy]oxane-2-carboxylic acid	Lipids and lipid-like molecules	";Saccharolipids"	
C10H17N3O6S	HMDB0000125	Glutathione	Other		
C10H20O4	HMDB0033217|HMDB0033642|HMDB0035133|HMDB0039053|HMDB0039974	(2xi,6xi)-7-Methyl-3-methylene-1,2,6,7-octanetetrol|(2xi,3xi,6E)-3,7-Dimethyl-6-octene-1,2,3,8-tetrol|3,7-Dimethyl-3-octene-1,2,6,7-tetrol|(1alpha,2alpha,4betaH,6alpha,8R)-p-Menthane-2,6,8,9-tetrol|(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C11H12N2O4	HMDB0001200|HMDB0060485	N'-Formylkynurenine|L-Formylkynurenine	Other		
C11H14N2O4	HMDB0028853|HMDB0015084|HMDB0029105|HMDB0029451|HMDB0040988	Glycyl-Tyrosine|Felbamate|Tyrosyl-Glycine|gamma-Glutaminyl-4-hydroxybenzene|Falimint	Other		
C11H14O2	HMDB0037708|HMDB0040800|HMDB0031864|HMDB0002043|HMDB0031250|HMDB0033376|HMDB0033386|HMDB0033597|HMDB0035013|HMDB0036235|HMDB0036385|HMDB0037680|HMDB0038179|HMDB0040287|HMDB0040356|HMDB0040411|HMDB0040425|HMDB0040426|HMDB0040583|HMDB0041553|HMDB0126149|HMDB0126449|HMDB0132981|HMDB0133181|HMDB0133469|HMDB0133682|HMDB0133683|HMDB0133684|HMDB0133685|HMDB0133686|HMDB0133687	p-Tolyl isobutyrate|2-Ethoxy-5-(1-propenyl)phenol|Methyleugenol|5-Phenylvaleric acid|Phenylmethyl 2-methylpropanoate|Phenylmethyl butanoate|3-Phenylpropyl acetate|4-(4-Methoxyphenyl)-2-butanone|2-Phenylethyl propanoate|alpha,alpha-Dimethylphenethyl formate|Methyl 4-phenylbutanoate|2-Methylphenyl 2-methylpropanoate|3-(2-Hydroxy-4-methylphenyl)-2-butanone|1-Phenylethyl propanoate|Osmorhizole|Ethyl 3-phenylpropanoate|Propyl phenylacetate|Isopropyl phenylacetate|2-Methylpropyl benzoate|Methylisoeugenol|2-(3-methylbut-2-en-1-yl)benzene-1,3-diol|2-[(1E)-3-methylbut-1-en-1-yl]benzene-1,3-diol|1-(4-hydroxyphenyl)pentan-3-one|4-(3-methylbut-2-en-1-yl)benzene-1,3-diol|4-(3-methoxyphenyl)butan-2-one|3-hydroxy-3-methyl-4-phenylbutan-2-one|4-hydroxy-3-methyl-4-phenylbutan-2-one|4-(3-hydroxyphenyl)-3-methylbutan-2-one|4-(4-hydroxyphenyl)-3-methylbutan-2-one|3-benzyl-4-hydroxybutan-2-one|1-hydroxy-3-methyl-4-phenylbutan-2-one	Lipids and lipid-like molecules	";Fatty Acyls;Prenol lipids"	
C11H19NO3	HMDB0094807|HMDB0094808|HMDB0094809|HMDB0094810|HMDB0094811|HMDB0094812|HMDB0094813	2-nonenoylglycine|3-nonenoylglycine|4-nonenoylglycine|5-nonenoylglycine|6-nonenoylglycine|7-nonenoylglycine|8-nonenoylglycine	Other		
C11H19NO9	HMDB0000230|HMDB0000773	N-Acetylneuraminic acid|N-Acetyl-a-neuraminic acid	Other		
C11H20O3	HMDB0037179|HMDB0032662|HMDB0036029	3-Nonanon-1-yl acetate|(S)-9-Hydroxy-10-undecenoic acid|Clarycet	Lipids and lipid-like molecules	"Fatty Acyls;"	
C11H20O6	HMDB0031876|HMDB0033064	Prenyl glucoside|(E)-2-Methyl-2-buten-1-ol O-beta-D-Glucopyranoside	Lipids and lipid-like molecules	Fatty Acyls	
C11H22N2O4S	HMDB0003426	Pantetheine	Other		
C12H19N3O	HMDB0015299	Procarbazine	Other		
C12H19NO3	HMDB0015009	Terbutaline	Other		
C12H20O5	HMDB0032472	Polyethylene, oxidized	Lipids and lipid-like molecules	Fatty Acyls	
C12H22O10	HMDB0040154|HMDB0006590|HMDB0006701|HMDB0029523|HMDB0124733	6-O-b-D-Fructofuranosyl-2-deoxy-D-glucose|2-O-a-L-Fucopyranosyl-galactose|3-O-a-L-Fucopyranosyl-D-glucose|Neohesperidose|6-{[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]methyl}oxane-2,3,4,5-tetrol	Lipids and lipid-like molecules	";Fatty Acyls"	
C12H22O11	HMDB0000163|HMDB0000048|HMDB0000055|HMDB0000186|HMDB0000258|HMDB0000740|HMDB0000975|HMDB0002923|HMDB0005826|HMDB0006603|HMDB0006792|HMDB0011740|HMDB0011742|HMDB0029880|HMDB0029882|HMDB0029898|HMDB0029902|HMDB0029919|HMDB0029933|HMDB0033368|HMDB0038489|HMDB0039237|HMDB0039727|HMDB0039876|HMDB0041627|HMDB0060068|HMDB0125600|HMDB0133305	D-Maltose|Melibiose|Cellobiose|Alpha-Lactose|Sucrose|Lactulose|Trehalose|Isomaltose|Galactinol|3-b-Galactopyranosyl glucose|Epimelibiose|Turanose|Kojibiose|Neotrehalose|Sakebiose|Inulobiose|Galabiose|Maltulose|Mannobiose|DEAE-cellulose|Allolactose|Glucinol|Trehalulose|Fagopyritol A1|beta-Lactose|Glucose-1,3-mannose oligosaccharide|2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol|6-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol	Lipids and lipid-like molecules	";Fatty Acyls"	
C12H22O4	HMDB0000623|HMDB0030143|HMDB0041613|HMDB0041614	Dodecanedioic acid|Talaromycin A|Bis(1-methylethyl) hexanedioate|Dipropyl hexanedioate	Lipids and lipid-like molecules	"Fatty Acyls;"	
C12H22O6	HMDB0031897	Phaseolic acid	Lipids and lipid-like molecules	Fatty Acyls	
C12H24O2	HMDB0034128|HMDB0034136|HMDB0034137|HMDB0032310|HMDB0000638|HMDB0030998|HMDB0032440|HMDB0033619|HMDB0035410|HMDB0036225|HMDB0040166|HMDB0059868	Isopropyl nonanoate|Octyl butanoate|Octyl 2-methylpropanoate|2-Heptyl butyrate|Dodecanoic acid|Ethyl decanoate|Nonanal propyleneglycol acetal|Hexyl hexanoate|(R)-Dihydrocitronellol acetate|Pentyl heptanoate|Decyl acetate|Isobutyl octanoate	Lipids and lipid-like molecules	"Fatty Acyls;"	
C12H24O3	HMDB0000387|HMDB0002059|HMDB0010728|HMDB0040169	3-Hydroxydodecanoic acid|12-Hydroxydodecanoic acid|(R)-3-Hydroxydodecanoic acid|xi-5-Hydroxydodecanoic acid	Lipids and lipid-like molecules	";Fatty Acyls"	
C13H16N2	HMDB0014771	Dexmedetomidine	Other		
C13H18N2O4	HMDB0029005|HMDB0029068|HMDB0033598|HMDB0139575|HMDB0139703	Phenylalanyl-Threonine|Threoninyl-Phenylalanine|N5-(4-Methoxybenzyl)glutamine|(2E)-N-(4-amino-2,3-dihydroxybutyl)-3-(4-hydroxyphenyl)prop-2-enimidic acid|N-(4-amino-2-hydroxybutyl)-3-(3,4-dihydroxyphenyl)prop-2-enimidic acid	Other		
C13H18N2O5	HMDB0029073|HMDB0029115|HMDB0061146	Threoninyl-Tyrosine|Tyrosyl-Threonine|Hydroxy-lacosamide	Other		
