Old,New
CHCA,CHCA
9AA,9AA
4-Phenyl-alpha-cyanocinnamic acid amide,Other
DHA,DHA
Ni,Other
Norharmane,Norharmane
2-Mercaptobenzothiazole (MBT),MBT
5-chloro-2-Mercaptobenzothiazole (CMBT),CMBT
"2,5-dihydroxybenzoic acid (DHB)",DHB
trans-2-[3-(4-tert-Butylphenyl)-2-methyl-2-propenylidene] malononitrile (DCTB),DCTB
"1,5-diaminonaphthalene (DAN)",DAN
THAP,Other
N/A,Other
"2,5-dihydroxybenzoic acid (DHB)/Fe3O4 binary mix",Mix
n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),NEDC
4-Nitroaniline,Other
9-aminoacridine (9AA),9AA
BzPy,Other
"1,5-diaminonaphthalene (DAN), DHB",Mix
alpha-cyano-4-hydroxycinnamic acid (CHCA),CHCA
NEDC,NEDC
DAN,DAN
sDHB,Other
DHB,DHB
"1,8-Bis-(l-pyrrolidinyl)naphthalene",Other
super DHB,Other
none,Other
"1,8,9-anthracenetriol (Dithranol)",Other
Universal DHB CHCA,Mix
"2,5-dihydroxyacetophenone (DHAP)",DHAP
"2,5-dihydroxyacetophenone (DHAP)/Gold Sputter",Mix
"1,8-bis(dimethylamino)naphthalene (DMAN)",DMAN
DHB/CHCA,Mix
"DHB, CHCA",Mix
"2,5-dihydroxyacetophenone (DHA)",DHA
norhramne,Norharmane
Pt,Other
SDHB,Other
DHP,Other
multiple,Mix
"1,5-diaminonaphthalene (DAN)+HCl",Mix
BPYN,BPYN
DHB/Fe3O4,Mix
α-Cyano-4-hydroxycinnamic acid (HCCA),HCCA
DHB and DAN,Mix
DIOS,Other
"1,5-diaminonaphthalene (DAN) | DHB",Mix
Cu,Other
Ag,Other
Ti,Other
"2,5-dihydroxy benzoic acid (DHB)",DHB
Au,Other
PNA,PNA
None,Other
Ice,Other
ice,Other
"2′,6′-Dihydroxyacetophenone (DHAP)",DHAP
"2,4,6-Trihydroxyacetophenone (THAP)",Other
norharmane,Norharmane
