Old,New
homospaiens,Human
Mouse,Mouse
human,Human
None,Other
n/a,Other
rat,Rat
mice,Mouse
Homo sapiens (human) | Mus musculus (mouse),Multiple
poplar,Poplar
plant,Plant
homo sapiens (human) ,Human
Candida albicans | Escherichia coli ,Multiple
Non-human primate ,Primate
Non-human primate (rhesus macaque) ,Primate
Pseudomonas putida | Pseudomonas savastanoi ,Multiple
homo sapiens (human) ,Human
Candida albicans | Escherichia coli ,Multiple
mixed,Multiple
Homo sapiens (human),Human
Mus musculus (mouse),Mouse
Rattus norvegicus (rat),Rat
Brassica napus (rapeseed),Rapeseed
Mouse,Mouse
none,Other
Danio rerio (zebrafish),Zebrafish
